Node ID, Recommended nodes
8099,2575 3343 2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
1040,518  2311 2567 2823 10 1802 2314 2316 2575 3343 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
5318,3343 2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
9654,2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343  560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
9477,2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343 2576 2065 2066 2067  2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
5402,2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343 2576 2065 2066 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
5668,2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343 2576 2065 2066 2067 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
5992,1802 2314 2316 2575 3343 2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596  2305 514 517 518 3590 2311 2567 2823 10 2085 2597 2343 2346 556 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
9327,2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
6276,2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343 2576 2065 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
2838, 2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
379,3343 2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
4103,2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 3343 2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2575 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
3250,2074 2330 2332 2078 2590 2079 2080 2081 2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097 2610 3122 2099 564  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343 2576 2065 2066 2067 2581 534 2070 2073 1845 2613 3637 570 828 2366 1346 3650 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
9293,2593 2594 2083 2595 2851 2084 2340 2596 2085 2597 2343 2346 556 2094 560 3376 1329 2097 2610 3122 2099 564 1845 2613 3637 570 828 2366 1346 3650  2305 514 517 518 3590 2311 2567 2823 10 1802 2314 2316 2575 3343 2576 2065 2066 2067 2581 534 2070 2073 2074 2330 2332 2078 2590 2079 2080 2081 2885 2636 1360 2384 2640 2897 2386 2388 2389 2645 2390 2646 3158 2647 2648 3928 1882 3930 1117 2398 608 2662 3435 2677 3702 119 3703 1404 1919 2175 2433 2689 3203 2442 3214 2448 659 3738 2719 1698 2212 2213 3493 1190 2472 171 685 3507 3765 1208 2489 443 1726 2239 2247 2507 3531 716 2511 3279 2256 2512 1238 2266 3546 732 2524 3549 2528 3552 1508 3558 2792 2538 3562 2283 2539 2541 1518 2544 2289 2037 2038 250 2810 2301 2557 766 2558 2303]
